spec_t,constituents,x,category,factor,spec_dist_total,dist_pct,market_rate,density,value
R,iron,60.15625,major,5,32,15.63%,0.05,7.7,"$6,189,536.72"
R,iron,12.03125,minor,1,32,3.13%,0.05,7.7,"$1,237,907.34"
S,iridium,1849677.656,minor,1,32,3.13%,16720.25,3.54,"$190,315,183,729.22"
S,silicon,442500,major,5,32,15.63%,800,3.54,"$45,529,267,500.00"
S,calcium,12168.75,minor,1,32,3.13%,110,3.54,"$1,252,054,856.25"
S,sodium,8518.125,minor,1,32,3.13%,77,3.54,"$876,438,399.38"
S,oxygen,1659.375,major,5,32,15.63%,3,3.54,"$170,734,753.13"
S,magnesium,1122.84375,major,5,32,15.63%,2.03,3.54,"$115,530,516.28"
S,aluminium,896.0625,major,5,32,15.63%,1.62,3.54,"$92,196,766.69"
S,manganese,222.35625,minor,1,32,3.13%,2.01,3.54,"$22,878,456.92"
S,scandium,221.25,minor,1,32,3.13%,2,3.54,"$22,764,633.75"
S,zinc,219.0375,minor,1,32,3.13%,1.98,3.54,"$22,536,987.41"
S,iron,27.65625,major,5,32,15.63%,0.05,3.54,"$2,845,579.22"
S,iron,5.53125,minor,1,32,3.13%,0.05,3.54,"$569,115.84"
T,iron,385,major,5,5,100.00%,0.05,7.7,"$39,613,035.00"
V,silicon,257333.3333,major,5,30,16.67%,800,1.93,"$26,477,284,000.00"
V,calcium,35383.33333,major,5,30,16.67%,110,1.93,"$3,640,626,550.00"
V,sodium,24768.33333,major,5,30,16.67%,77,1.93,"$2,548,438,585.00"
V,oxygen,965,major,5,30,16.67%,3,1.93,"$99,289,815.00"
V,aluminium,521.1,major,5,30,16.67%,1.62,1.93,"$53,616,500.10"
V,potassium,109.3666667,major,5,30,16.67%,0.34,1.93,"$11,252,845.70"
