2004 FN8,4.332,0.722,0.688,27.1,1.169
2015 MB54,4.333,0.722,0.688,24.1,1.307
2008 TX3,4.334,0.722,0.688,24.9,1.180
2016 CF194,4.335,0.723,0.688,24.1,1.287
2012 EP10,4.343,0.724,0.689,29.1,1.050
2011 OK45,4.345,0.724,0.690,27.6,1.291
2015 ON22,4.355,0.726,0.691,26.7,1.234
2004 BV18,4.357,0.726,0.692,25.9,1.335
2015 LJ,4.358,0.726,0.692,24.7,1.232
2001 AV43,4.361,0.727,0.692,24.6,1.284
2008 HQ3,4.361,0.727,0.692,27.5,1.357
2006 JY26,4.364,0.727,0.693,28.4,1.010
2012 LA,4.365,0.728,0.693,27.6,1.040
2014 LJ,4.369,0.728,0.694,28.5,1.079
2008 CM74,4.376,0.729,0.695,28.1,1.089
2009 RT1,4.380,0.730,0.695,23.6,1.155
2015 AP44,4.382,0.730,0.696,26.2,1.276
2011 CY7,4.382,0.730,0.696,25.2,1.286
2015 TB,4.385,0.731,0.696,27.4,1.272
2015 DJ215,4.385,0.731,0.696,24.0,1.132
2013 SP19,4.387,0.731,0.696,29.2,1.285
2011 PN1,4.388,0.731,0.697,27.4,1.215
2015 VH2,4.389,0.731,0.697,27.4,1.320
2014 KF39,4.394,0.732,0.697,25.3,1.042
2006 DN,4.395,0.732,0.698,24.5,1.380
2006 BZ147,4.400,0.733,0.698,25.4,1.023
2015 XX128,4.400,0.733,0.698,26.0,1.267
2011 AM37,4.404,0.734,0.699,29.7,1.100
2004 WH1,4.406,0.734,0.699,24.0,1.197
2006 HW50,4.406,0.734,0.699,24.4,1.235
2015 XD169,4.412,0.735,0.700,26.9,1.085
2010 KV7,4.413,0.736,0.701,26.0,1.216
2014 WN69,4.419,0.736,0.701,28.0,1.384
2006 UQ216,4.419,0.737,0.701,27.3,1.104
2013 QM10,4.421,0.737,0.702,24.4,1.189
2010 PS66,4.423,0.737,0.702,25.1,1.345
2004 EU22,4.425,0.737,0.702,24.0,1.175
2006 MV1,4.425,0.737,0.702,26.8,1.317
2010 VC72,4.425,0.737,0.702,23.0,1.159
2008 KT,4.425,0.737,0.702,28.2,1.011
2011 MQ3,4.427,0.738,0.703,24.8,1.123
2009 DC12,4.427,0.738,0.703,22.9,1.332
2001 US16,4.428,0.738,0.703,20.2,1.356
2013 HP11,4.429,0.738,0.703,25.4,1.185
2011 HP24,4.432,0.739,0.703,25.8,1.187
2011 PT,4.432,0.739,0.704,23.9,1.312
2010 VO21,4.435,0.739,0.704,28.7,1.327
2015 TJ1,4.436,0.739,0.704,22.7,1.227
2013 SB21,4.437,0.739,0.704,27.0,1.337
2011 TP6,4.437,0.740,0.704,25.5,1.321
2015 RT82,4.440,0.740,0.705,25.7,1.238
2012 CR46,4.441,0.740,0.705,26.4,1.339
2013 PA7,4.442,0.740,0.705,22.6,1.154
2014 TR,4.443,0.741,0.705,27.2,1.387
2014 FZ,4.448,0.741,0.706,27.0,1.370
2016 DF,4.449,0.741,0.706,27.0,1.092
2014 DJ80,4.449,0.742,0.706,26.3,0.977
2008 GL2,4.450,0.742,0.706,27.2,1.123
2014 FA44,4.451,0.742,0.706,24.8,1.293
2015 VC1,4.453,0.742,0.707,27.2,1.133
2015 FQ33,4.460,0.743,0.708,26.7,1.298
2002 NV16,4.460,0.743,0.708,21.4,1.237
2013 UX2,4.462,0.744,0.708,29.2,1.119
2014 UW57,4.463,0.744,0.708,26.4,1.385
2016 CS247,4.463,0.744,0.708,25.5,1.361
2016 EJ156,4.465,0.744,0.709,25.7,1.191
2006 SK61,4.467,0.744,0.709,26.1,1.380
2015 JD3,4.467,0.745,0.709,25.6,1.058
2010 RM80,4.468,0.745,0.709,27.9,1.177
2009 SW171,4.469,0.745,0.709,26.1,1.331
2015 YK,4.474,0.746,0.710,25.9,1.095
2011 HH,4.476,0.746,0.711,25.3,1.304
2015 MZ53,4.477,0.746,0.711,27.5,1.138
2012 XK134,4.478,0.746,0.711,26.4,1.193
2005 EZ169,4.480,0.747,0.711,25.3,1.317
2014 HL198,4.481,0.747,0.711,27.3,1.288
2003 EZ16,4.482,0.747,0.711,22.9,1.176
2012 BP123,4.482,0.747,0.711,27.1,1.128
2015 HM182,4.482,0.747,0.711,29.0,1.193
2007 DD,4.490,0.748,0.713,25.8,0.987
2008 NX,4.491,0.749,0.713,25.1,1.320
2015 DS,4.492,0.749,0.713,24.9,1.341
2005 OH3,4.496,0.749,0.714,26.0,1.237
2009 FQ32,4.499,0.750,0.714,26.8,1.226
2014 TB,4.500,0.750,0.714,28.2,1.201
2012 XF55,4.500,0.750,0.714,22.8,1.276
1993 BX3,4.500,0.750,0.714,20.8,1.395
2014 SJ262,4.502,0.750,0.715,25.5,1.131
2011 CL33,4.505,0.751,0.715,25.9,1.364
2014 HW,4.507,0.751,0.715,28.4,1.079
2007 YJ1,4.509,0.751,0.716,25.3,1.264
2011 PU1,4.510,0.752,0.716,25.6,1.306
2015 FN33,4.510,0.752,0.716,25.8,1.142
2016 ET85,4.510,0.752,0.716,25.6,1.261
2003 GA,4.511,0.752,0.716,21.1,1.282
2003 WP25,4.511,0.752,0.716,24.2,0.989
1999 SF10,4.515,0.752,0.717,24.3,1.278
2010 AG3,4.515,0.753,0.717,27.5,1.370
2007 EE26,4.518,0.753,0.717,26.1,1.245
2006 CL9,4.521,0.753,0.718,22.8,1.346
1998 KG3,4.522,0.754,0.718,22.1,1.160
2009 QR,4.522,0.754,0.718,27.4,1.344
2014 YQ44,4.531,0.755,0.719,24.0,1.317
1999 CG9,4.531,0.755,0.719,25.2,1.062
2006 BQ7,4.532,0.755,0.719,26.5,1.347
2009 DB43,4.536,0.756,0.720,26.5,1.101
2005 TA,4.536,0.756,0.720,27.2,1.280
1993 KA,4.542,0.757,0.721,26.0,1.256
2015 XO351,4.542,0.757,0.721,26.5,1.337
